,posted_on,bhk,size,floor,area_type,area_locality,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,rent,floor_number,3_or_less_bhk,size_type,normalize_rent,Standardization_size
55,2022-05-27,1,600.0,,super area,behala,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,7000,-1.0,1,medium,0.10211267605633803,-0.5577894089879787
56,2022-06-19,2,1200.0,1 out of 1,super area,hooghly-chinsurah,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,6000,1.0,1,large,0.08450704225352114,0.8431257772546311
59,2022-07-06,2,720.0,4 out of 4,carpet area,unknown place,kolkata,Semi-Furnished,family,2.0,Contact Owner,8500,4.0,1,medium,0.12852112676056338,-0.27760637173945674
60,2022-07-02,1,300.0,1 out of 3,carpet area,unknown place,kolkata,Unfurnished,bachelors,1.0,Contact Owner,5000,1.0,1,small,0.06690140845070423,-1.2582470021092835
61,2022-06-21,3,1200.0,Ground out of 2,carpet area,vip road haldiram,chennai,Unfurnished,bachelors/family,3.0,Contact Agent,30000,0.0,0,large,0.5070422535211269,0.8431257772546311
63,2022-06-24,3,2000.0,1 out of 3,super area,naihati,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,30000,1.0,0,large,0.5070422535211269,2.7110126922447773
65,2022-06-26,2,1100.0,Ground out of 3,carpet area,naihati,kolkata,Unfurnished,bachelors,1.0,Contact Owner,8000,0.0,1,medium,0.11971830985915494,0.6096399128808628
68,2022-05-18,2,800.0,Ground out of 2,carpet area,"chak thakurani, thakurpukur",kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,6500,0.0,1,medium,0.09330985915492958,-0.09081768024044207
70,2022-06-07,1,680.0,Ground out of 2,super area,jadavpur,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,7500,0.0,1,medium,0.1109154929577465,-0.371000717488964
72,2022-06-26,2,850.0,1 out of 2,carpet area,salt lake city sector 1,kolkata,Unfurnished,bachelors/family,1.0,Contact Agent,16000,1.0,1,medium,0.2605633802816901,0.025925251946442084
74,2022-05-22,3,1500.0,,carpet area,beliaghata,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,40000,-1.0,0,large,0.6830985915492959,1.543583370375936
75,2022-06-18,2,950.0,1 out of 4,super area,"magnolia prestige, rajarhat",kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,12500,1.0,1,medium,0.198943661971831,0.2594111163202104
76,2022-06-08,2,500.0,Ground out of 2,super area,"baishnabghata patuli township, patuli",kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,5500,0.0,1,small,0.07570422535211269,-0.791275273361747
78,2022-05-03,2,700.0,Ground out of 2,super area,sonarpur,kolkata,Unfurnished,bachelors,1.0,Contact Owner,6500,0.0,1,medium,0.09330985915492958,-0.32430354461421035
80,2022-07-06,2,1800.0,,carpet area,belghoria,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,14500,-1.0,1,large,0.23415492957746478,2.244040963497241
81,2022-05-23,1,500.0,1 out of 3,carpet area,"rabindra pally, keshtopur",kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,8200,1.0,1,small,0.12323943661971831,-0.791275273361747
82,2022-05-23,2,480.0,Ground out of 3,carpet area,shukhobrishti,kolkata,Furnished,bachelors/family,2.0,Contact Owner,15000,0.0,1,small,0.24295774647887328,-0.8379724462365007
83,2022-06-21,6,1000.0,1 out of 1,super area,sonarpur,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,20000,1.0,0,medium,0.33098591549295775,0.37615404850709455
84,2022-07-05,2,800.0,1 out of 2,carpet area,"baishnavghata patuli , house number s-300 kolkata 700094",kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,6700,1.0,1,medium,0.09683098591549297,-0.09081768024044207
85,2022-05-27,2,435.0,,super area,kasba,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,10000,-1.0,1,small,0.15492957746478875,-0.9430410852046964
86,2022-05-07,2,700.0,Ground out of 2,carpet area,dum dum metro,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,7000,0.0,1,medium,0.10211267605633803,-0.32430354461421035
87,2022-06-25,2,800.0,4 out of 4,super area,"hazra, kalighat",kolkata,Furnished,bachelors/family,3.0,Contact Agent,22000,4.0,1,medium,0.3661971830985916,-0.09081768024044207
88,2022-07-07,2,450.0,1 out of 3,super area,ajoy nagar,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Agent,6500,1.0,1,small,0.09330985915492958,-0.9080182055486311
90,2022-06-30,2,800.0,,carpet area,salt lake city,kolkata,Unfurnished,bachelors,2.0,Contact Agent,18000,-1.0,1,medium,0.295774647887324,-0.09081768024044207
91,2022-06-27,2,550.0,,carpet area,unknown place,kolkata,Semi-Furnished,family,2.0,Contact Owner,12000,-1.0,1,medium,0.19014084507042256,-0.6745323411748628
92,2022-05-01,1,600.0,2 out of 4,super area,unknown place,kolkata,Furnished,bachelors/family,1.0,Contact Owner,9000,2.0,1,medium,0.13732394366197184,-0.5577894089879787
95,2022-05-23,1,300.0,,carpet area,dum dum metro,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,5000,-1.0,1,small,0.06690140845070423,-1.2582470021092835
96,2022-06-28,2,1200.0,,super area,boral,kolkata,Furnished,bachelors/family,2.0,Contact Owner,12000,-1.0,1,large,0.19014084507042256,0.8431257772546311
97,2022-06-23,3,500.0,3 out of 4,carpet area,"rabindra pally, keshtopur",kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,10000,3.0,0,small,0.15492957746478875,-0.791275273361747
98,2022-04-29,2,1200.0,1 out of 2,super area,bagbazar,kolkata,Unfurnished,bachelors,2.0,Contact Owner,18000,1.0,1,large,0.295774647887324,0.8431257772546311
100,2022-06-27,3,1300.0,,carpet area,unknown place,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,22000,-1.0,0,large,0.3661971830985916,1.0766116416283995
102,2022-07-10,3,1450.0,Ground out of 1,super area,ajoy nagar,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,21000,0.0,0,large,0.3485915492957746,1.4268404381890518
103,2022-07-06,2,1100.0,2 out of 2,super area,"action area 1, rajarhat newtown",kolkata,Furnished,bachelors,2.0,Contact Agent,25000,2.0,1,medium,0.41901408450704225,0.6096399128808628
106,2022-07-04,2,700.0,Ground out of 2,carpet area,"kudghat, ashok nagar",kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,14000,0.0,1,medium,0.22535211267605634,-0.32430354461421035
107,2022-05-15,3,750.0,Ground out of 2,super area,unknown place,kolkata,Unfurnished,family,1.0,Contact Owner,8000,0.0,0,medium,0.11971830985915494,-0.20756061242732624
108,2022-05-04,2,1000.0,Ground out of 1,super area,"purbasan, thakurpukur",kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,8000,0.0,1,medium,0.11971830985915494,0.37615404850709455
109,2022-04-25,1,220.0,Ground out of 2,super area,"bidhan pally, bansdroni",bangalore,Furnished,bachelors/family,1.0,Contact Owner,6000,0.0,1,small,0.08450704225352114,-1.4450356936082982
110,2022-05-21,1,300.0,1 out of 3,carpet area,"naktala, garia",kolkata,Semi-Furnished,bachelors,1.0,Contact Agent,8000,1.0,1,small,0.11971830985915494,-1.2582470021092835
111,2022-06-27,2,300.0,Ground out of 1,carpet area,tiljala road,hyderabad,Unfurnished,bachelors/family,1.0,Contact Owner,6000,0.0,1,small,0.08450704225352114,-1.2582470021092835
113,2022-06-12,3,800.0,Ground out of 1,super area,"parnashree lake, behala",kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,12000,0.0,0,medium,0.19014084507042256,-0.09081768024044207
114,2022-06-28,3,1600.0,,super area,garia,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,15000,-1.0,0,large,0.24295774647887328,1.7770692347497044
115,2022-05-15,3,1000.0,,super area,kasba,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,14000,-1.0,0,medium,0.22535211267605634,0.37615404850709455
116,2022-05-30,1,20.0,2 out of 3,super area,dakshineswar,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,5000,2.0,1,small,0.06690140845070423,-1.9120074223558348
117,2022-06-10,2,400.0,Ground out of 2,carpet area,chatana,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,7000,0.0,1,small,0.10211267605633803,-1.0247611377355152
118,2022-06-23,2,200.0,2 out of 2,super area,shyam bazar,kolkata,Furnished,bachelors/family,1.0,Contact Owner,3900,2.0,1,small,0.04753521126760564,-1.4917328664830518
119,2022-06-09,3,840.0,1 out of 4,carpet area,mukundapur,kolkata,Unfurnished,bachelors,2.0,Contact Owner,14000,1.0,0,medium,0.22535211267605634,0.0025766655090652527
120,2022-06-14,1,300.0,,carpet area,salt lake city sector 5,kolkata,Unfurnished,bachelors/family,1.0,Contact Agent,6300,-1.0,1,small,0.0897887323943662,-1.2582470021092835
121,2022-06-20,2,550.0,1 out of 2,carpet area,salt lake city sector 5,kolkata,Furnished,bachelors/family,2.0,Contact Agent,13000,1.0,1,medium,0.20774647887323944,-0.6745323411748628
123,2022-05-14,2,800.0,1 out of 1,super area,behala chowrasta,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,8000,1.0,1,medium,0.11971830985915494,-0.09081768024044207
124,2022-05-10,2,740.0,Ground out of 6,carpet area,sonarpur,bangalore,Unfurnished,bachelors,1.0,Contact Owner,10000,0.0,1,medium,0.15492957746478875,-0.23090919886470304
125,2022-04-25,2,1300.0,1 out of 1,super area,santoshpur,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,18000,1.0,1,large,0.295774647887324,1.0766116416283995
127,2022-05-06,2,490.0,1 out of 1,super area,entally,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,8000,1.0,1,small,0.11971830985915494,-0.8146238597991238
128,2022-06-08,1,250.0,2 out of 2,super area,unknown place,kolkata,Furnished,bachelors/family,1.0,Contact Owner,4700,2.0,1,small,0.061619718309859156,-1.3749899342961678
129,2022-06-08,1,250.0,Ground out of 1,super area,"dash drone, rajarhat newtown",kolkata,Furnished,bachelors/family,1.0,Contact Owner,4700,0.0,1,small,0.061619718309859156,-1.3749899342961678
130,2022-05-06,1,450.0,1 out of 2,super area,"rabindra pally, keshtopur",kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,4500,1.0,1,small,0.05809859154929578,-0.9080182055486311
131,2022-06-30,3,300.0,Ground out of 1,carpet area,salt lake city sector 1,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,6000,0.0,0,small,0.08450704225352114,-1.2582470021092835
132,2022-06-24,2,750.0,1 out of 3,super area,"rajdanga gardens, kasba",kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,16000,1.0,1,medium,0.2605633802816901,-0.20756061242732624
135,2022-06-26,1,900.0,Ground out of 2,carpet area,lake town,kolkata,Semi-Furnished,bachelors,1.0,Contact Owner,9000,0.0,1,medium,0.13732394366197184,0.14266818413332624
136,2022-06-23,2,400.0,1 out of 3,carpet area,unknown place,chennai,Semi-Furnished,bachelors/family,1.0,Contact Owner,5000,1.0,1,small,0.06690140845070423,-1.0247611377355152
137,2022-06-13,2,1000.0,Ground out of 2,carpet area,salt lake city,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Agent,17500,0.0,1,medium,0.2869718309859155,0.37615404850709455
139,2022-05-26,3,1500.0,1 out of 1,carpet area,unknown place,kolkata,Semi-Furnished,family,2.0,Contact Agent,15000,1.0,0,large,0.24295774647887328,1.543583370375936
140,2022-04-25,2,750.0,1 out of 3,carpet area,"sukhpally, haltu",kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,12500,1.0,1,medium,0.198943661971831,-0.20756061242732624
141,2022-05-11,1,1200.0,2 out of 4,super area,kasba,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Agent,13000,2.0,1,large,0.20774647887323944,0.8431257772546311
142,2022-05-06,2,700.0,Ground out of 1,super area,"sakher bazar, purba barisha",kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,8000,0.0,1,medium,0.11971830985915494,-0.32430354461421035
143,2022-05-10,2,700.0,4 out of 4,carpet area,garia dhalua nabapally,kolkata,Furnished,bachelors,1.0,Contact Owner,8000,4.0,1,medium,0.11971830985915494,-0.32430354461421035
144,2022-05-21,2,1000.0,Ground out of 2,carpet area,"chinar park, rajarhat",kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,8000,0.0,1,medium,0.11971830985915494,0.37615404850709455
145,2022-06-12,2,1200.0,1 out of 3,super area,konnagar,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,7000,1.0,1,large,0.10211267605633803,0.8431257772546311
146,2022-06-05,2,550.0,2 out of 3,carpet area,behala silpara,kolkata,Furnished,bachelors/family,1.0,Contact Owner,2200,2.0,1,medium,0.017605633802816906,-0.6745323411748628
147,2022-06-25,2,800.0,Ground out of 4,carpet area,vip road,kolkata,Unfurnished,bachelors,1.0,Contact Owner,8000,0.0,1,medium,0.11971830985915494,-0.09081768024044207
148,2022-06-11,2,280.0,1 out of 3,super area,new barrakpur,kolkata,Unfurnished,bachelors,1.0,Contact Owner,5500,1.0,1,small,0.07570422535211269,-1.3049441749840374
149,2022-07-04,3,1100.0,Ground out of 2,super area,"thakurpukur, kolkata",hyderabad,Unfurnished,bachelors/family,3.0,Contact Owner,20000,0.0,0,medium,0.33098591549295775,0.6096399128808628
151,2022-05-13,1,250.0,1 out of 2,super area,"phool bagan, kankurgachi",kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,3500,1.0,1,small,0.040492957746478875,-1.3749899342961678
152,2022-05-10,2,1000.0,Ground out of 2,carpet area,unknown place,delhi,Unfurnished,bachelors,1.0,Contact Owner,5000,0.0,1,medium,0.06690140845070423,0.37615404850709455
155,2022-06-08,2,700.0,1 out of 2,super area,benia pukur,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,10000,1.0,1,medium,0.15492957746478875,-0.32430354461421035
156,2022-05-15,2,700.0,Ground out of 3,carpet area,baguiati,kolkata,Unfurnished,bachelors,1.0,Contact Owner,7000,0.0,1,medium,0.10211267605633803,-0.32430354461421035
157,2022-06-29,2,1000.0,Ground out of 3,super area,e m bypass,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,12000,0.0,1,medium,0.19014084507042256,0.37615404850709455
158,2022-05-13,2,900.0,1 out of 4,carpet area,"panchanan tola, thakurpukur",kolkata,Unfurnished,bachelors,2.0,Contact Owner,14500,1.0,1,medium,0.23415492957746478,0.14266818413332624
159,2022-05-25,1,700.0,,super area,"vip nagar, e m bypass",kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,6000,-1.0,1,medium,0.08450704225352114,-0.32430354461421035
160,2022-06-28,2,700.0,1 out of 2,super area,unknown place,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,9500,1.0,1,medium,0.14612676056338028,-0.32430354461421035
161,2022-06-27,2,450.0,,carpet area,behala,delhi,Semi-Furnished,bachelors/family,2.0,Contact Owner,10000,-1.0,1,small,0.15492957746478875,-0.9080182055486311
162,2022-05-06,1,120.0,Ground out of 3,super area,dum dum cantonment,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,3500,0.0,1,small,0.040492957746478875,-1.6785215579820665
163,2022-06-01,2,800.0,,super area,"new garia, garia",kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,9000,-1.0,1,medium,0.13732394366197184,-0.09081768024044207
164,2022-05-08,3,1220.0,2 out of 3,carpet area,salt lake city sector 3,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,40000,2.0,0,large,0.6830985915492959,0.8898229501293848
165,2022-06-23,2,1100.0,Ground out of 3,super area,mominpur,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,16500,0.0,1,medium,0.2693661971830986,0.6096399128808628
166,2022-06-12,3,700.0,,carpet area,"halisahar station road, kanchrapara",kolkata,Unfurnished,family,2.0,Contact Owner,8000,-1.0,0,medium,0.11971830985915494,-0.32430354461421035
167,2022-05-10,2,800.0,,super area,santoshpur,kolkata,Furnished,bachelors/family,1.0,Contact Owner,12000,-1.0,1,medium,0.19014084507042256,-0.09081768024044207
168,2022-06-27,2,670.0,2 out of 2,carpet area,"dunlop, dakshineswar, belgharia expressway",kolkata,Semi-Furnished,family,1.0,Contact Agent,6500,2.0,1,medium,0.09330985915492958,-0.3943493039263409
169,2022-04-30,4,1300.0,1 out of 2,super area,ballygunge,chennai,Unfurnished,bachelors/family,2.0,Contact Owner,40000,1.0,0,large,0.6830985915492959,1.0766116416283995
171,2022-05-24,2,700.0,,super area,kabardanga,mumbai,Semi-Furnished,bachelors/family,1.0,Contact Owner,9000,-1.0,1,medium,0.13732394366197184,-0.32430354461421035
172,2022-06-23,1,240.0,,carpet area,jadavpur,kolkata,Unfurnished,bachelors,1.0,Contact Owner,7000,-1.0,1,small,0.10211267605633803,-1.3983385207335446
173,2022-05-19,2,850.0,2 out of 4,carpet area,behala chowrasta,delhi,Semi-Furnished,family,1.0,Contact Owner,18000,2.0,1,medium,0.295774647887324,0.025925251946442084
174,2022-05-26,1,950.0,1 out of 2,super area,haltu,delhi,Unfurnished,bachelors/family,2.0,Contact Owner,9000,1.0,1,medium,0.13732394366197184,0.2594111163202104
175,2022-06-11,1,450.0,1 out of 2,carpet area,botanical garden area,kolkata,Furnished,bachelors/family,3.0,Contact Owner,5500,1.0,1,small,0.07570422535211269,-0.9080182055486311
176,2022-06-08,2,800.0,Ground out of 2,super area,bonhooghly,kolkata,Unfurnished,family,1.0,Contact Owner,7500,0.0,1,medium,0.1109154929577465,-0.09081768024044207
177,2022-07-02,2,600.0,1 out of 2,carpet area,nilgung old bazar,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,4000,1.0,1,medium,0.04929577464788733,-0.5577894089879787
178,2022-04-30,3,800.0,,carpet area,"teghoria, baguiati",kolkata,Unfurnished,bachelors,2.0,Contact Owner,10500,-1.0,0,medium,0.1637323943661972,-0.09081768024044207
180,2022-06-16,2,800.0,,carpet area,baguiati,kolkata,Furnished,bachelors/family,1.0,Contact Owner,15000,-1.0,1,medium,0.24295774647887328,-0.09081768024044207
182,2022-06-08,2,950.0,,carpet area,"jote shibrampur, joth shibrampur",kolkata,Unfurnished,bachelors,2.0,Contact Owner,12000,-1.0,1,medium,0.19014084507042256,0.2594111163202104
183,2022-04-25,2,550.0,2 out of 3,carpet area,ultadanga,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,11000,2.0,1,medium,0.17253521126760565,-0.6745323411748628
184,2022-06-04,2,1800.0,1 out of 1,carpet area,birati,delhi,Unfurnished,bachelors,2.0,Contact Owner,12000,1.0,1,large,0.19014084507042256,2.244040963497241
